lat,lng,Structure_Number,system_use_code,city_id,geometry_x,geometry_y
36.83185269,-76.29023889,E1735,0,NORFOLK,-76.29023889,36.83185269
36.83192585,-76.28974432,E1717,0,NORFOLK,-76.28974432,36.83192585
36.8319451,-76.28943849,E1718,0,NORFOLK,-76.28943849,36.8319451
36.83195117,-76.28955483,E1719,0,NORFOLK,-76.28955483,36.83195117
36.83195285,-76.29025914,E1734,0,NORFOLK,-76.29025914,36.83195285
36.83195878,-76.26003322,H17156,0,NORFOLK,-76.26003322,36.83195878
36.83202659,-76.28976626,E1716,0,NORFOLK,-76.28976626,36.83202659
36.83203231,-76.26006805,H17157,0,NORFOLK,-76.26006805,36.83203231
36.83206982,-76.25964381,H17154,0,NORFOLK,-76.25964381,36.83206982
36.83207033,-76.28944936,E1715,0,NORFOLK,-76.28944936,36.83207033
36.83207539,-76.19931392,N17238,0,NORFOLK,-76.19931392,36.83207539
36.83208722,-76.25247091,I1720,0,NORFOLK,-76.25247091,36.83208722
36.83209833,-76.25983556,H17158,0,NORFOLK,-76.25983556,36.83209833
36.83215639,-76.19927592,N17237,0,NORFOLK,-76.19927592,36.83215639
36.83216637,-76.25022141,I1728,0,NORFOLK,-76.25022141,36.83216637
36.83217189,-76.25213801,I1722,0,NORFOLK,-76.25213801,36.83217189
36.83217501,-76.26905885,G17612,0,NORFOLK,-76.26905885,36.83217501
36.83220429,-76.25020605,I1729,0,NORFOLK,-76.25020605,36.83220429
36.83220496,-76.26914791,G17610,0,NORFOLK,-76.26914791,36.83220496
36.83224939,-76.19941492,N17236,0,NORFOLK,-76.19941492,36.83224939
36.83243239,-76.25801528,H17146,0,NORFOLK,-76.25801528,36.83243239
36.83246263,-76.27075593,G17428,0,NORFOLK,-76.27075593,36.83246263
36.8324763,-76.19704645,N17256,0,NORFOLK,-76.19704645,36.8324763
36.83247931,-76.19693287,N17255,0,NORFOLK,-76.19693287,36.83247931
36.83261897,-76.25823485,H17150,0,NORFOLK,-76.25823485,36.83261897
36.83265941,-76.27942743,F17622,0,NORFOLK,-76.27942743,36.83265941
36.83266285,-76.25812208,H17149,0,NORFOLK,-76.25812208,36.83266285
36.83267571,-76.28552423,E17856,0,NORFOLK,-76.28552423,36.83267571
36.83268646,-76.28570467,E17857,0,NORFOLK,-76.28570467,36.83268646
36.83270969,-76.25180637,I1730,0,NORFOLK,-76.25180637,36.83270969
36.83272803,-76.27939973,F17623,0,NORFOLK,-76.27939973,36.83272803
36.83275845,-76.27950567,F17625,0,NORFOLK,-76.27950567,36.83275845
36.83277723,-76.25157279,I1734,0,NORFOLK,-76.25157279,36.83277723
36.83279683,-76.25202862,I1731,0,NORFOLK,-76.25202862,36.83279683
36.83298424,-76.25209406,I1732,0,NORFOLK,-76.25209406,36.83298424
36.83298683,-76.25162645,I1736,0,NORFOLK,-76.25162645,36.83298683
36.83300701,-76.25176227,I1737,0,NORFOLK,-76.25176227,36.83300701
36.83306159,-76.28109899,F17629,0,NORFOLK,-76.28109899,36.83306159
36.83309105,-76.28121111,F17630,0,NORFOLK,-76.28121111,36.83309105
36.83320967,-76.25834698,H17161,0,NORFOLK,-76.25834698,36.83320967
36.83324532,-76.25839926,H17162,0,NORFOLK,-76.25839926,36.83324532
36.8332849,-76.20521187,M17194,0,NORFOLK,-76.20521187,36.8332849
36.83332181,-76.20510655,M17191,0,NORFOLK,-76.20510655,36.83332181
36.8334518,-76.19481762,N17216,0,NORFOLK,-76.19481762,36.8334518
36.83359956,-76.26359973,H17166,0,NORFOLK,-76.26359973,36.83359956
36.83372439,-76.25828776,H17163,0,NORFOLK,-76.25828776,36.83372439
36.83379994,-76.25838702,H17164,0,NORFOLK,-76.25838702,36.83379994
36.83397151,-76.25453705,I17140,0,NORFOLK,-76.25453705,36.83397151
36.83399734,-76.20104021,N17172,0,NORFOLK,-76.20104021,36.83399734
36.83402494,-76.19757437,N17261,0,NORFOLK,-76.19757437,36.83402494
36.83403689,-76.20114308,N17173,0,NORFOLK,-76.20114308,36.83403689
36.83404283,-76.28475374,F17847,0,NORFOLK,-76.28475374,36.83404283
36.83406014,-76.28503923,F17848,0,NORFOLK,-76.28503923,36.83406014
36.83407749,-76.28269134,F17829,0,NORFOLK,-76.28269134,36.83407749
36.83410694,-76.19754537,N17260,0,NORFOLK,-76.19754537,36.83410694
36.83411472,-76.20117071,N17174,0,NORFOLK,-76.20117071,36.83411472
36.83411923,-76.28506926,F17849,0,NORFOLK,-76.28506926,36.83411923
36.83412058,-76.20322543,N17200,0,NORFOLK,-76.20322543,36.83412058
36.83415575,-76.28478905,F17846,0,NORFOLK,-76.28478905,36.83415575
36.83416899,-76.28342106,F17827,0,NORFOLK,-76.28342106,36.83416899
36.83417539,-76.19814392,N17259,0,NORFOLK,-76.19814392,36.83417539
36.83418668,-76.20111934,N17175,0,NORFOLK,-76.20111934,36.83418668
36.83418902,-76.20317364,N17201,0,NORFOLK,-76.20317364,36.83418902
36.83419201,-76.28351563,F17826,0,NORFOLK,-76.28351563,36.83419201
36.83426155,-76.28338262,F17828,0,NORFOLK,-76.28338262,36.83426155
36.83427569,-76.283899,F17830,0,NORFOLK,-76.283899,36.83427569
36.83427639,-76.19829892,N17258,0,NORFOLK,-76.19829892,36.83427639
36.83443518,-76.20185936,N17176,0,NORFOLK,-76.20185936,36.83443518
36.83450515,-76.20180612,N17177,0,NORFOLK,-76.20180612,36.83450515
36.83453494,-76.2020699,N17178,0,NORFOLK,-76.2020699,36.83453494
36.83459765,-76.20200539,N17179,0,NORFOLK,-76.20200539,36.83459765
36.83462377,-76.28414085,F17822,0,NORFOLK,-76.28414085,36.83462377
36.83465057,-76.28421649,F17821,0,NORFOLK,-76.28421649,36.83465057
36.83471822,-76.20451418,M17204,0,NORFOLK,-76.20451418,36.83471822
36.8348081,-76.20449755,M17205,0,NORFOLK,-76.20449755,36.8348081
36.83483478,-76.20800271,M173,0,NORFOLK,-76.20800271,36.83483478
36.83485881,-76.20809326,M174,0,NORFOLK,-76.20809326,36.83485881
36.83537643,-76.19369296,N17227,0,NORFOLK,-76.19369296,36.83537643
36.83537795,-76.25957011,H17125,0,NORFOLK,-76.25957011,36.83537795
36.83540767,-76.25964719,H17124,0,NORFOLK,-76.25964719,36.83540767
36.83544833,-76.2040341,M17207,0,NORFOLK,-76.2040341,36.83544833
36.83550133,-76.25969436,H17123,0,NORFOLK,-76.25969436,36.83550133
36.83551922,-76.20398503,M17208,0,NORFOLK,-76.20398503,36.83551922
36.83554278,-76.25839329,H17136,0,NORFOLK,-76.25839329,36.83554278
36.83555465,-76.25967227,H17122,0,NORFOLK,-76.25967227,36.83555465
36.83564872,-76.25838003,H17135,0,NORFOLK,-76.25838003,36.83564872
36.83565272,-76.25832496,H17134,0,NORFOLK,-76.25832496,36.83565272
36.83575138,-76.19347868,N16231,0,NORFOLK,-76.19347868,36.83575138
36.83576568,-76.27805529,F17579,0,NORFOLK,-76.27805529,36.83576568
36.83577292,-76.28669588,E17813,0,NORFOLK,-76.28669588,36.83577292
36.83581017,-76.28656305,E17812,0,NORFOLK,-76.28656305,36.83581017
36.83613754,-76.2855627,E17807,0,NORFOLK,-76.2855627,36.83613754
36.8361386,-76.28448787,F17785,0,NORFOLK,-76.28448787,36.8361386
36.83615585,-76.25995803,H17121,0,NORFOLK,-76.25995803,36.83615585
36.83618806,-76.2846581,F17786,0,NORFOLK,-76.2846581,36.83618806
36.83620933,-76.284456,F17782,0,NORFOLK,-76.284456,36.83620933
36.836218,-76.28561231,E17808,0,NORFOLK,-76.28561231,36.836218
36.8362659,-76.26001792,H17120,0,NORFOLK,-76.26001792,36.8362659
36.83626837,-76.28509937,F17787,0,NORFOLK,-76.28509937,36.83626837
36.83668235,-76.28138588,F17865,0,NORFOLK,-76.28138588,36.83668235
36.8368067,-76.19283229,O16237,0,NORFOLK,-76.19283229,36.8368067
36.83684778,-76.26423799,H16967,0,NORFOLK,-76.26423799,36.83684778
36.83689396,-76.26436231,H16968,0,NORFOLK,-76.26436231,36.83689396
36.83697573,-76.19967608,N16162,0,NORFOLK,-76.19967608,36.83697573
36.83701435,-76.19977817,N16163,0,NORFOLK,-76.19977817,36.83701435
36.83706112,-76.28121942,F17864,0,NORFOLK,-76.28121942,36.83706112
36.83709501,-76.28134967,F17863,0,NORFOLK,-76.28134967,36.83709501
36.83726067,-76.28888317,E17931,0,NORFOLK,-76.28888317,36.83726067
36.83727928,-76.26429083,H16962,0,NORFOLK,-76.26429083,36.83727928
36.83732792,-76.28876893,E16934,0,NORFOLK,-76.28876893,36.83732792
36.83733753,-76.19250404,O162381,0,NORFOLK,-76.19250404,36.83733753
36.83739188,-76.19349799,N16252,0,NORFOLK,-76.19349799,36.83739188
36.83739792,-76.19265396,O162391,0,NORFOLK,-76.19265396,36.83739792
36.83747317,-76.19349293,N16253,0,NORFOLK,-76.19349293,36.83747317
36.83769954,-76.28907922,E16928,0,NORFOLK,-76.28907922,36.83769954
36.83774455,-76.28898521,E16927,0,NORFOLK,-76.28898521,36.83774455
36.83789335,-76.19217522,O16259,0,NORFOLK,-76.19217522,36.83789335
36.83803227,-76.19224094,O16260,0,NORFOLK,-76.19224094,36.83803227
36.8381078,-76.28095249,F16904,0,NORFOLK,-76.28095249,36.8381078
36.83810907,-76.19204742,O16341,0,NORFOLK,-76.19204742,36.83810907
36.83811458,-76.2810822,F16903,0,NORFOLK,-76.2810822,36.83811458
36.83839078,-76.19191039,O16342,0,NORFOLK,-76.19191039,36.83839078
36.83881661,-76.1917515,O16345,0,NORFOLK,-76.1917515,36.83881661
36.83926736,-76.20102943,N16158,0,NORFOLK,-76.20102943,36.83926736
36.83929393,-76.19143797,O16346,0,NORFOLK,-76.19143797,36.83929393
36.83938652,-76.20207844,N16152,0,NORFOLK,-76.20207844,36.83938652
36.83944798,-76.19130031,O16348,0,NORFOLK,-76.19130031,36.83944798
36.8394809,-76.19857216,N161002,0,NORFOLK,-76.19857216,36.8394809
36.83950451,-76.20207169,N16151,0,NORFOLK,-76.20207169,36.83950451
36.83952023,-76.19865791,N161003,0,NORFOLK,-76.19865791,36.83952023
36.8395214,-76.20305405,N16150,0,NORFOLK,-76.20305405,36.8395214
36.83953322,-76.19853276,N161001,0,NORFOLK,-76.19853276,36.83953322
36.83981282,-76.19095438,O16349,0,NORFOLK,-76.19095438,36.83981282
36.84005363,-76.1907388,O16351,0,NORFOLK,-76.1907388,36.84005363
36.84027821,-76.2019349,N16154,0,NORFOLK,-76.2019349,36.84027821
36.84028214,-76.20204729,N16153,0,NORFOLK,-76.20204729,36.84028214
36.84043316,-76.19016006,O16352,0,NORFOLK,-76.19016006,36.84043316
36.8406561,-76.20203229,N16155,0,NORFOLK,-76.20203229,36.8406561
36.84073005,-76.1897646,O16354,0,NORFOLK,-76.1897646,36.84073005
36.84092811,-76.25591462,H1634,0,NORFOLK,-76.25591462,36.84092811
36.84094417,-76.19627533,N16515,0,NORFOLK,-76.19627533,36.84094417
